TFRecords files already exist. Proceed with the execution
Preparing dataset hapt...
rnn input shape:  (None, 250, 6)
rnn output shape: (None, 12)
All relevant data from this run is stored in /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T11-03-28-503443_bidirectional
Tensorboard output will be stored in: /Users/Pankai/PycharmProjects/dl-lab-21w-team20/human_activity_recognition/logs/20220201-110329
Training will be from scratch since no valid checkpoint was specified.
All checkpoints will be stored in: /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T11-03-28-503443_bidirectional/ckpts

======== Starting Training ========
Step 20, Loss: 1.4060312509536743, Accuracy: 55.31%, Test Loss: 0.8878992795944214, Validation Accuracy: 70.35%
Step 920, Loss: 0.047699324786663055, Accuracy: 97.97%, Test Loss: 0.4126787483692169, Validation Accuracy: 87.35%
Step 940, Loss: 0.041220523416996, Accuracy: 98.28%, Test Loss: 0.417197048664093, Validation Accuracy: 87.57%
Step 960, Loss: 0.058724403381347656, Accuracy: 97.50%, Test Loss: 0.43804243206977844, Validation Accuracy: 87.46%
Step 980, Loss: 0.06839913129806519, Accuracy: 97.81%, Test Loss: 0.4433515667915344, Validation Accuracy: 87.57%
Step 1000, Loss: 0.06594088673591614, Accuracy: 97.50%, Test Loss: 0.47673800587654114, Validation Accuracy: 87.57%
Step 1020, Loss: 0.05757637694478035, Accuracy: 97.19%, Test Loss: 0.4555145800113678, Validation Accuracy: 87.14%
Step 1040, Loss: 0.06274758279323578, Accuracy: 97.03%, Test Loss: 0.4635009467601776, Validation Accuracy: 87.25%
Step 1060, Loss: 0.04177246615290642, Accuracy: 98.59%, Test Loss: 0.4826650619506836, Validation Accuracy: 86.61%
Step 1080, Loss: 0.06149613857269287, Accuracy: 96.88%, Test Loss: 0.4260481595993042, Validation Accuracy: 87.46%
Step 1100, Loss: 0.06034418195486069, Accuracy: 97.81%, Test Loss: 0.45011627674102783, Validation Accuracy: 87.25%
Step 1120, Loss: 0.053468845784664154, Accuracy: 98.22%, Test Loss: 0.4765537977218628, Validation Accuracy: 87.46%
Step 1140, Loss: 0.04709838330745697, Accuracy: 98.75%, Test Loss: 0.4596670866012573, Validation Accuracy: 87.04%
Step 1160, Loss: 0.043323881924152374, Accuracy: 98.28%, Test Loss: 0.4675830602645874, Validation Accuracy: 87.04%
Step 1180, Loss: 0.06126285716891289, Accuracy: 97.97%, Test Loss: 0.516370952129364, Validation Accuracy: 87.46%
Step 1200, Loss: 0.059932343661785126, Accuracy: 97.97%, Test Loss: 0.5425274968147278, Validation Accuracy: 86.72%
Step 1220, Loss: 0.06620253622531891, Accuracy: 97.81%, Test Loss: 0.44538480043411255, Validation Accuracy: 87.57%
Step 1240, Loss: 0.05650920793414116, Accuracy: 96.72%, Test Loss: 0.441057950258255, Validation Accuracy: 87.57%
Step 1260, Loss: 0.04686034470796585, Accuracy: 98.28%, Test Loss: 0.4299730062484741, Validation Accuracy: 88.10%
Step 1280, Loss: 0.03695305064320564, Accuracy: 98.44%, Test Loss: 0.4919215738773346, Validation Accuracy: 87.14%
Step 1300, Loss: 0.06139657646417618, Accuracy: 97.66%, Test Loss: 0.45248064398765564, Validation Accuracy: 87.25%
Step 1320, Loss: 0.041780583560466766, Accuracy: 98.75%, Test Loss: 0.47284284234046936, Validation Accuracy: 87.89%
Step 1340, Loss: 0.04107670858502388, Accuracy: 98.28%, Test Loss: 0.45720964670181274, Validation Accuracy: 88.42%
Step 1360, Loss: 0.03180889040231705, Accuracy: 99.03%, Test Loss: 0.4942580461502075, Validation Accuracy: 87.25%
Step 1380, Loss: 0.042397260665893555, Accuracy: 98.44%, Test Loss: 0.45583105087280273, Validation Accuracy: 88.74%
Step 1400, Loss: 0.042075105011463165, Accuracy: 98.28%, Test Loss: 0.5571660995483398, Validation Accuracy: 87.89%
Step 1420, Loss: 0.05201312154531479, Accuracy: 98.44%, Test Loss: 0.5652133822441101, Validation Accuracy: 87.99%
Step 1440, Loss: 0.04167724773287773, Accuracy: 98.75%, Test Loss: 0.4538348317146301, Validation Accuracy: 88.95%
Step 1460, Loss: 0.05289667844772339, Accuracy: 97.97%, Test Loss: 0.4691312611103058, Validation Accuracy: 87.89%
Step 1480, Loss: 0.062217503786087036, Accuracy: 97.66%, Test Loss: 0.5140185952186584, Validation Accuracy: 87.25%
Step 1500, Loss: 0.02616867795586586, Accuracy: 99.06%, Test Loss: 0.5325987935066223, Validation Accuracy: 88.10%
Finished training after 1500 steps.
